area,Year,Rooms,Location,Price,Floor
53,1385,1, Kooy-e Ferdows,5500000000.0,3.0
81,1401,2, Mobarakeh-ye Bahshti,26325000000.0,3.0
155,1401,3, Jannat Abad-e Jonubi,24500000000.0,2.0
290,1401,4, Poonak,55000000000.0,4.0
62,1394,1, Azgal,8200000000.0,4.0
92,1393,2, Jannat Abad-e Markazi,12050000000.0,3.0
133,1394,3, Jannat Abad-e Jonubi,17000000000.0,5.0
67,1392,1, Ji,3486000000.0,1.0
185,1394,3, Shahrak-e Zhandarmeri,33200000000.0,3.0
165,1379,3, Shahrak-e Gharb,21000000000.0,4.0
90,1396,2, Jannat Abad Shomali,920000000.0,3.0
100,1370,1, Piroozi,620000000.0,0.0
178,1380,3, Jordan,2050000000.0,6.0
150,1402,3, Jordan,2800000000.0,1.0
200,1402,3, Pasdaran,24000000000.0,16.0
168,1381,3, Jordan,222000000.0,4.0
225,1385,3, Amanieh,2540000000.0,5.0
140,1395,3, Shahrak-e Parvaz,176000000.0,2.0
112,1391,2, Bagh-e Feyz,1254400000.0,3.0
270,1388,4, Velenjak,5600000000.0,5.0
110,1402,2, Jannat Abad Jonoubi,116800000.0,3.0
105,1393,3, Shahr-e Shomali,114000000.0,4.0
136,1388,3, Ferdows Blvd,139000000.0,3.0
154,1383,3, Ferdows Blvd,115500000.0,2.0
115,1384,2, Heravi,127000000.0,1.0
104,1393,2, Jannat Abad Markazi,1220000000.0,1.0
214,1402,3, Jordan,4700000000.0,1.0
130,1398,3, Heravi,1820000000.0,5.0
98,1390,2, Jannat Abad Jonoubi,118000000.0,4.0
105,1385,2, Saadat Abad,1300000000.0,4.0
110,1390,2, Heravi,12900000000.0,5.0
212,1385,3, Pasdaran,29000000000.0,4.0
85,1395,2, Poonak,760000000.0,4.0
88,1401,2, Kashanak,14500000000.0,3.0
127,1401,2, Azgal,21300000000.0,2.0
140,1401,3, Saadat Abad,23500000000.0,5.0
180,1388,3, Zaferanieh,28000000000.0,3.0
135,1395,3, Jannat Abad Shomali,13000000000.0,1.0
120,1395,3, Sohravardi,13250000000.0,1.0
55,1388,1, Kooy-e Ferdows,5950000000.0,2.0
72,1378,2, Bagh-e Feiz,5720000000.0,3.0
116,1390,3, Abshar-e Tehran,82500000000.0,7.0
89,1386,2, Shahran Shomali,6650000000.0,2.0
180,1385,3, Saadat Abad,30600000000.0,11.0
98,1397,2, Jannat Abad Jonubi,11200000000.0,5.0
47,1389,1, Salsabil,2800000000.0,1.0
130,1380,2, Elahiyeh,23900000000.0,1.0
100,1401,2, Marzdaran,14500000000.0,3.0
114,1395,3, Abshar-e Tehran,8050000000.0,4.0
115,1382,2, Shahrak-e Gharb,13400000000.0,1.0
75,1384,2, Jannat Abad Markazi,7800000000.0,5.0
139,1402,3, Ostad Moien,11850000000.0,4.0
20,1400,1, Martyrs of Persian Gulf Lake,600000000.0,21.0
60,1388,2, Poonak,6300000000.0,5.0
230,1396,3, Saadat Abad,50000000000.0,1.0
73,1395,2, Shahran Jonubi,700000000.0,3.0
125,1392,3, Saadat Abad,17500000000.0,5.0
78,1398,2, Jannat Abad Jonubi,10000000000.0,5.0
76,1397,2, Jannat Abad Markazi,8150000000.0,5.0
172,1400,3, Saadat Abad,45000000000.0,5.0
84,1384,2, Poonak,790000000.0,1.0
65,1380,2, Afsariyeh,3900000000.0,0.0
375,1400,4, Mahmoudieh,930000000000.0,2.0
150,1385,3, Mirdamad,18000000000.0,2.0
130,1401,3, Moqadam,6500000000.0,0.0
194,1401,3, Pasdaran,22310000000.0,11.0
225,1387,3, Zaferanieh,44000000000.0,6.0
170,1401,3, Velenjak,39000000000.0,6.0
113,1397,2, Plan and Budget Organization,15820000000.0,3.0
118,1402,2, Martyrs of Persian Gulf Lake,8500000000.0,25.0
61,1387,2, Molavi,1900000000.0,0.0
93,1385,2, Plan and Budget Organization,10200000000.0,3.0
72,1386,2, Plan and Budget Organization,7100000000.0,1.0
245,1388,4, Farmaniyeh,47000000000.0,5.0
125,1384,3, Kooy-e Ferdows,12800000000.0,3.0
88,1385,2, Jannat Abad Jonubi,70890000000.0,2.0
48,1383,1, Jihun,2800000000.0,0.0
68,1385,2, Poonak,6100000000.0,3.0
90,1402,2, Chitgar,9900000000.0,12.0
61,1387,1, Poonak,6000000000.0,2.0
75,1386,2, Jannat Abad Markazi,5750000000.0,4.0
130,1380,3, Pasdaran,20000000000.0,2.0
101,1402,2, Chitgar,808000000.0,11.0
47,1385,1, Jihun,280000000.0,0.0
320,1394,3, Sarv Azad,14800000000.0,0.0
74,1399,2, Piroozi,5850000000.0,0.0
74,1385,2, Poonak,630000000.0,1.0
100,1401,2, Air Force,13000000000.0,3.0
150,1401,3, Air Force,15000000000.0,4.0
150,1397,3, Shahrak-e Rah-Ahan,142000000000.0,2.0
50,1400,1, Jihun,340000000.0,4.0
115,1402,2, Sarv Azad,425000000.0,23.0
85,1402,2, Air Force,980000000.0,1.0
240,1402,3, Farmanieh,63000000000.0,6.0
110,1402,2, Marzdaran,12900000000.0,4.0
88,1390,1, Baharestan,1848000000.0,0.0
53,1393,1, Safa,2970000000.0,0.0
160,1401,3, Shahrak-e Gharb,41600000000.0,2.0
153,1399,3, Ararat,2600000000.0,2.0
50,1376,1, Haft Chenar,280000000.0,1.0
155,1390,3, Mirdamad,17000000000.0,3.0
140,1395,2, Ekhtiyarieh,18200000000.0,2.0
90,1383,2, Abazar,8800000000.0,2.0
50,1391,1, Khaniabad Now,2500000000.0,0.0
200,1402,3, Zaferanieh,90000000000.0,5.0
62,1395,1, Dolab,3350000000.0,0.0
57,1385,2, Tehran Sar,33300000000.0,2.0
127,1398,3, Persian Gulf Martyrs Lake,16000000000.0,14.0
53,1386,1, Molavi,2150000000.0,0.0
55,1387,1, Shahr Ziba,5250000000.0,4.0
90,1397,2, Shahran Jonoubi,8500000000.0,1.0
80,1386,2, Shahr Ziba,7450000000.0,4.0
159,1398,3, Olympic Village,17800000000.0,3.0
235,1400,3, Qeytariyeh,56000000000.0,3.0
112,1396,2, Jannat Abad Jonoubi,14500000000.0,3.0
110,1402,2, Pasdaran,14000000000.0,11.0
44,1385,1, Azerbaijan,39900000000.0,2.0
89,1388,2, Shamsabad,10650000000.0,1.0
149,1391,3, Shahr Ziba,11500000000.0,1.0
112,1402,2, Chitgar,7850000000.0,0.0
85,1402,2, Persian Gulf Martyrs Lake,12750000000.0,12.0
200,1392,3, Door Two,35500000000.0,1.0
140,1393,3, Jannat Abad Jonoubi,18200000000.0,5.0
85,1390,2, Saadat Abad,12700000000.0,4.0
55,1387,1, Jeyhoon,3500000000.0,2.0
116,1401,2, Pasdaran,14500000000.0,8.0
120,1402,2, Jannat Abad Jonoubi,17500000000.0,3.0
111,1396,2, Shahrak-e Gharb,24200000000.0,1.0
65,1385,1, Poonak,5700000000.0,1.0
95,1402,2, Beryanak,6200000000.0,3.0
122,1401,3, Ji,7503000000.0,3.0
142,1397,2, Argentina,21300000000.0,0.0
62,1398,2, Mobarakeh-ye Beheshti,1800000000.0,1.0
207,1388,3, Velenjak,33000000000.0,3.0
35,1398,1, Ajoudanieh,27000000000.0,3.0
138,1398,2, Velenjak,19000000000.0,3.0
53,1392,1, Lashkar,3550000000.0,1.0
100,1400,2, Mobarakeh-ye Beheshti,33000000000.0,2.0
84,1384,2, Iran,47000000000.0,4.0
41,1376,0, Beryanak,16100000000.0,0.0
188,1402,3, Zaferanieh,530000000000.0,3.0
